event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
ABAIR: The Wilsons & The McKeaney Sisters,53.3450078,-6.269166299999999,8220DB001443,Wood Quay,53.345129,-6.26954,0.00039286273684479255
Acis and Galatea,52.1398345,-7.9293394,8450B255061,Lismore,52.136741,-7.934327,0.005869062617657822
"Aisling Bea ""Older Than Jesus""",52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Al Porter Algorithm,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Albums Worth Talking About - Episode 2,53.3360639,-6.3240107,8220DB001949,Tyrconnell Park,53.337641,-6.323618,0.0016252561951876148
Alma Boliviana Ballet,53.3381736,-6.259119,8220DB000790,Stephen's Green Nth,53.339316,-6.258367,0.0013676921290986528
Alternative Side to Dublin | FREE Walking Tour,53.352914,-6.262148,8220DB000264,Parnell Square East,53.353316,-6.26197,0.0004396453115875427
An Audience with Liverpool Legends,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
"Aran Knitting Workshop, Knit an Aran Scarf with Irish Wool",53.3450737,-6.2534374,8220DB000400,Shaw Street,53.344849,-6.25339,0.0002296450521971756
AS IF | Group Exhibition at the International Centre for the Image,53.3489638,-6.233671699999999,8220DB002502,New Wapping Street,53.34913,-6.2353,0.001636760009898872
Athlone River Festival 2026: Viking Themed,53.4239226,-7.940277499999999,8330B455701,Northgate Street,53.42466,-7.94042,0.0007510426153078266
Award Winning Danny Ryan plus Guests,51.9018264,-8.470619899999999,8370B258981,Coburg Street,51.90175,-8.47072,0.000125924461483107
Aware's Harbour2Harbour Walk 2026,53.2956349,-6.133322199999999,8250IR0124,Dun Laoghaire (Mallin),53.294776,-6.134575,0.001518952616117
Ballymaloe Festival of Food,51.865171,-8.073812,8380B237231,Ballymaloe,51.868543,-8.083596,0.010348769975221012
Beyond the Border,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Bill Laurance: Presented by Music Network,51.8973901,-8.476346399999999,8370B4289701,South Main Street,51.897316,-8.476966,0.0006240152001363891
Blackwater Valley Opera Festival Chorus Recital,52.0891971,-7.8513248,845000054,Villierstown,52.08854,-7.85106,0.000708448621988471
Boots & Brews,53.44457670000001,-6.1655167,8240DB003583,Saint Sylvester's School,53.449348,-6.163163,0.005320263844949957
BVOF 2026 - Free Open Air Recital Castlemartyr,51.911187,-8.063296,8380B2115701,Castlemartyr,51.9118244519414,-8.05604612042964,0.007277849872202082
BVOF 2026 - Free Open Air Recital Dungarvan,52.092034,-7.618411500000001,8450B216321,Dungarvan,52.091475294971,-7.62091475352959,0.0025648449354359207
BVOF 2026 - Free Open Air Recital Youghal,51.9471285,-7.842490199999999,8380B244661,Youghal South,51.947357,-7.843017,0.000574221638393801
BVOF Opening Ceremony 2026 - Free Open Air Recital Lismore,52.13733389999999,-7.9335431,8450B255061,Lismore,52.136741,-7.934327,0.000982868058278579
Caife agus Comhluadar – Bígí linn ag caint ‘is ag comhrá Gaeilge,52.26644160000001,-9.7035741,8390LL11332,Tralee Denny Street,52.267583,-9.705702,0.0024146950884088663
Captain Splash,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
"Cash Returns, The Man In Black",52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Cavan Drama Festival 2026,53.9909933,-7.3621073,8520B141471,Cavan Bus Station,53.990218,-7.363086,0.0012485767016893572
Ceoltóirí Chualann agus Cór Cúil Aodha : Múscailt,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
Chris Finnegan: Residency & Exhibition,51.8973901,-8.476346399999999,8370B4289701,South Main Street,51.897316,-8.476966,0.0006240152001363891
Chris Ramsey: Here Man,53.34267639999999,-6.2778366,8220DB001938,Cornmarket,53.342978,-6.276761,0.0011170845626043064
Christy Moore,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Clifden Piano Festival,53.4891345,-10.0202388,8470B635401,Clifden,53.48751,-10.02047,0.001640869796782998
Cliona Hagan In Concert,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Courtmacsherry Harbour Festival,51.63385539999999,-8.7059339,8380B2303101,Courtmacsherry,51.635306,-8.710628,0.004913126822099816
Cruise to Clonmacnoise,53.4233926,-7.9423094,8330B5546201,Castle Street,53.4226641777525,-7.94257368074834,0.0007748827553849192
Cuilcagh Camino 2026,54.1942277,-7.7041564,8520B1521601,Hawkswood,54.19608,-7.70347,0.00197538863265188
"Cures and Curses, An evening of traditional storytelling",53.3450737,-6.2534374,8220DB000400,Shaw Street,53.344849,-6.25339,0.0002296450521971756
Cushendall: Irish Song Cycles – Charles Villiers Stanford,52.0891971,-7.8513248,845000054,Villierstown,52.08854,-7.85106,0.000708448621988471
Dan McCabe with Special Guest Gearoid McCarthy,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Dancing Pianos! Dearbhla Collins & Finghin Collins Concert,52.0655322,-7.869051599999999,845000054,Villierstown,52.08854,-7.85106,0.029207131516121827
David McSavage 'The Occasional Ride',52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Declan Nerney with special guests Mick Flavin & Louise Morrissey,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Dee Armstrong (Kila) Solo Album: Deichtines Daughter,53.3450737,-6.2534374,8220DB000400,Shaw Street,53.344849,-6.25339,0.0002296450521971756
Delphi Half Marathon & 10km,53.68832769999999,-9.7865142,8490B553111,Louisburgh,53.76375,-9.808138,0.07846089512446378
Dingle Food Festival 2026,52.1408534,-10.2671142,8390B6356301,Dingle,52.13898,-10.27207,0.0052980733479254015
Do I Love You?,53.3450078,-6.269166299999999,8220DB001443,Wood Quay,53.345129,-6.26954,0.00039286273684479255
Don Giovanni,52.1405094,-7.932057200000001,8450B255061,Lismore,52.136741,-7.934327,0.004399185220013216
Doris Day: A Date with the Girl Next Door,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Drawing From the Well – The Breandán Breathnach Collection,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
Dublin Book Festival 2026,53.34235220000001,-6.2500908,8220B111761,Westland Row Church,53.342626,-6.250132,0.0002768824299180539
Dublin City Council St. Patrick’s Festival Family Village,53.3444102,-6.2709812,8220DB007888,Winetavern Street,53.344561,-6.271891,0.0009222129255226115
Dublin City Council St Patrick's Festival Treasure Hunt,53.3449733,-6.2707241,8220DB001480,Ormond Quay Upper,53.345766,-6.27067,0.0007945439572465186
Dublin Comic Con Summer Edition 2026,53.3478621,-6.2395809,8220DB007398,Convention Centre,53.347499,-6.239853,0.00045374003570435554
Dundalk Comic Con 2026,53.9675971,-6.3873934,8300B133581,Haggardstown,53.963015,-6.387108,0.004590979587190888
Dundalk Photographic Society Exhibition 2026,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
