stop_id,reachable_15min,reachable_30min,reachable_45min,stop_lat,stop_lon,reachable_15min_norm,reachable_30min_norm,reachable_45min_norm,cluster
8220B1352701,48,710,2401,53.348359,-6.253712,0.2341463414634146,0.4856361149110807,0.6742488065150238,2
8220B1352701,48,710,2401,53.348359,-6.253712,0.2341463414634146,0.4856361149110807,0.6742488065150238,2
8220B1353101,44,583,2499,53.333451,-6.249021,0.2146341463414634,0.3987688098495212,0.7017691659646167,2
8220B1353101,44,583,2499,53.333451,-6.249021,0.2146341463414634,0.3987688098495212,0.7017691659646167,2
8220B1353301,32,536,2460,53.340134371715,-6.25858361137312,0.1560975609756097,0.3666210670314637,0.6908171861836563,0
8220B1353301,32,536,2460,53.340134371715,-6.25858361137312,0.1560975609756097,0.3666210670314637,0.6908171861836563,0
8220B1353501,47,717,2506,53.3477999659065,-6.25849647173381,0.2292682926829268,0.4904240766073871,0.7037349059253019,2
8220B1353501,47,717,2506,53.3477999659065,-6.25849647173381,0.2292682926829268,0.4904240766073871,0.7037349059253019,2
8220B1354001,60,708,2271,53.346033,-6.292647,0.2926829268292683,0.4842681258549932,0.6377422072451558,2
8220B1354001,60,708,2271,53.346033,-6.292647,0.2926829268292683,0.4842681258549932,0.6377422072451558,2
8220B135411,0,0,0,53.333421,-6.249085,0.0,0.0,0.0,1
8220B135411,0,0,0,53.333421,-6.249085,0.0,0.0,0.0,1
8220B1354201,8,179,1526,53.34622,-6.29257,0.0390243902439024,0.1224350205198358,0.4285313114293738,3
8220B1354201,8,179,1526,53.34622,-6.29257,0.0390243902439024,0.1224350205198358,0.4285313114293738,3
8220B211521,1,1,1,53.3409101463996,-6.25078764576979,0.0048780487804878,0.0006839945280437,0.0002808199943836,1
8220B211521,1,1,1,53.3409101463996,-6.25078764576979,0.0048780487804878,0.0006839945280437,0.0002808199943836,1
8220B3551501,64,448,1073,53.317358,-6.215983,0.3121951219512195,0.3064295485636115,0.3013198539736029,3
8220B3551501,64,448,1073,53.317358,-6.215983,0.3121951219512195,0.3064295485636115,0.3013198539736029,3
8220CO10995,88,777,2304,53.345858,-6.293887,0.4292682926829268,0.5314637482900136,0.6470092670598147,2
8220CO10995,88,777,2304,53.345858,-6.293887,0.4292682926829268,0.5314637482900136,0.6470092670598147,2
8220CO10996,123,1025,3032,53.347888,-6.290712,0.6,0.70109439124487,0.8514462229710755,2
8220CO10996,123,1025,3032,53.347888,-6.290712,0.6,0.70109439124487,0.8514462229710755,2
8220DB000002,37,252,919,53.3522443611383,-6.26372321891887,0.1804878048780487,0.1723666210670314,0.2580735748385285,3
8220DB000002,37,252,919,53.3522443611383,-6.26372321891887,0.1804878048780487,0.1723666210670314,0.2580735748385285,3
8220DB000003,67,605,1498,53.352309,-6.263811,0.3268292682926829,0.4138166894664842,0.4206683515866329,0
8220DB000003,67,605,1498,53.352309,-6.263811,0.3268292682926829,0.4138166894664842,0.4206683515866329,0
8220DB000005,82,818,2322,53.3525736395204,-6.26411543286632,0.4,0.5595075239398085,0.6520640269587195,2
8220DB000005,82,818,2322,53.3525736395204,-6.26411543286632,0.4,0.5595075239398085,0.6520640269587195,2
8220DB000006,53,530,1858,53.3527493357046,-6.26445380396434,0.2585365853658536,0.3625170998632011,0.521763549564729,0
8220DB000006,53,530,1858,53.3527493357046,-6.26445380396434,0.2585365853658536,0.3625170998632011,0.521763549564729,0
8220DB000007,42,700,2226,53.352841,-6.26457,0.2048780487804878,0.478796169630643,0.6251053074978938,2
8220DB000007,42,700,2226,53.352841,-6.26457,0.2048780487804878,0.478796169630643,0.6251053074978938,2
