stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,operator
8220DB000213,213,Iveragh Road,,53.38145,-6.244872,,,,,dublin_bus
8220DB000214,214,Plunket College,,53.379408,-6.246655,,,,,dublin_bus
8220DB000215,215,Whitehall Cross,,53.381872,-6.242449,,,,,dublin_bus
8220DB000216,216,Yellow Road,,53.382331,-6.238191,,,,,dublin_bus
8220DB000217,217,Grace Park Court,,53.384324,-6.236801,,,,,dublin_bus
8220DB000218,218,Shantalla Road,,53.385924,-6.233788,,,,,dublin_bus
8220DB000220,220,Shantalla Bridge,,53.38794,-6.244981,,,,,dublin_bus
8220DB000228,228,Shanliss Road,,53.391877,-6.25972,,,,,dublin_bus
8220DB000233,233,Shantalla Road,,53.385821,-6.233537,,,,,dublin_bus
8220DB000234,234,Beaumont Grove,,53.384951,-6.234821,,,,,dublin_bus
8220DB000235,235,Grace Park Court,,53.383297,-6.237249,,,,,dublin_bus
8220DB000236,236,Yellow Road,,53.382025,-6.238159,,,,,dublin_bus
8220DB000237,237,Whitehall Cross,,53.382032,-6.243525,,,,,dublin_bus
8220DB000242,242,Coolgreena Road,,53.385655,-6.23201,,,,,dublin_bus
8220DB000243,243,Beaumont Crescent,,53.38578,-6.22954,,,,,dublin_bus
8220DB000244,244,Skelly's Lane,,53.384998,-6.223498,,,,,dublin_bus
8220DB000245,245,Whitethorn Rise,,53.384472,-6.219567,,,,,dublin_bus
8220DB000246,246,Artaine Castle,,53.385151,-6.216231,,,,,dublin_bus
8220DB000247,247,Maryfield Drive,,53.386976,-6.214501,,,,,dublin_bus
8220DB000248,248,Maryfield Drive,,53.3855645601725,-6.21446963135785,,,,,dublin_bus
8220DB000249,249,Artaine Castle,,53.384934,-6.21615,,,,,dublin_bus
8220DB000250,250,Whitethorn Rise,,53.384419,-6.220245,,,,,dublin_bus
8220DB000251,251,Skelly's Lane,,53.384832,-6.22322,,,,,dublin_bus
8220DB000252,252,Beaumont Crescent,,53.385568,-6.22797,,,,,dublin_bus
8220DB000253,253,Beaumont Hospital,,53.389963,-6.224299,,,,,dublin_bus
8220DB000254,254,Beaumont Hospital,,53.390265,-6.224106,,,,,dublin_bus
8220DB000255,255,Coolgreena Road,,53.385594,-6.231532,,,,,dublin_bus
8220DB000259,259,Grace Park Road,,53.374011,-6.243885,,,,,dublin_bus
8220DB000260,260,Parnell Square East,,53.3542939896038,-6.26312912620226,,,,,dublin_bus
8220DB000261,261,Parnell Square East,,53.354056,-6.262853,,,,,dublin_bus
8220DB000262,262,Parnell Square East,,53.353947,-6.262753,,,,,dublin_bus
8220DB000263,263,Parnell Square East,,53.353746,-6.262505,,,,,dublin_bus
8220DB000264,264,Parnell Square East,,53.353316,-6.26197,,,,,dublin_bus
8220DB000265,265,Parnell Square East,,53.353122,-6.261658,,,,,dublin_bus
8220DB000270,270,O'Connell Street Upper,,53.350623,-6.260424,,,,,dublin_bus
8220DB000271,271,O'Connell Street Lower,,53.348596,-6.259485,,,,,dublin_bus
8220DB000272,272,O'Connell Street Upper,,53.3514644798917,-6.26078060573293,,,,,dublin_bus
8220DB000273,273,O'Connell Bridge,,53.347247,-6.258819,,,,,dublin_bus
8220DB000274,274,O'Connell Street Upper,,53.3503490838222,-6.26072086862175,,,,,dublin_bus
8220DB000276,276,River Road,,53.377402,-6.331797,,,,,dublin_bus
8220DB000277,277,O'Connell Street Upper,,53.350822325818,-6.26050631978692,,,,,dublin_bus
8220DB000278,278,O'Connell Street Upper,,53.351561,-6.261227,,,,,dublin_bus
8220DB000279,279,O'Connell Street Upper,,53.350132,-6.26061,,,,,dublin_bus
8220DB000281,281,O'Connell Street Upper,,53.351343,-6.261116,,,,,dublin_bus
8220DB000284,284,Rathbourne Avenue,,53.377283,-6.328389,,,,,dublin_bus
8220DB000286,286,Cathal Brugha Street,,53.352171,-6.259911,,,,,dublin_bus
8220DB000288,288,Irish Life,,53.349169,-6.255602,,,,,dublin_bus
8220DB000289,289,Abbey Street,,53.349035,-6.256298,,,,,dublin_bus
8220DB000292,292,Abbey Street Lower,,53.3492,-6.255255,,,,,dublin_bus
